时间点,总请求数,卡顿率,⾸首帧加载时⻓长,错误率
2019-05-22T22:20,13390,0.06597273,1417.5231,0.005601195
2019-05-22T22:25,13243,0.062937066,1359.0208,0.0054368344
2019-05-22T22:30,13038,0.068870924,1355.9891,0.0047553307
2019-05-22T22:35,12631,0.06113229,1315.5032,0.0041960254
2019-05-22T22:40,12119,0.07511342,1356.9086,0.0036306626
2019-05-22T22:45,11933,0.05898039,1316.8911,0.003687254
2019-05-22T22:50,11395,0.059980173,1241.435,0.0051777097
2019-05-22T22:55,11028,0.06110359,1320.2971,0.0034457743
2019-05-22T23:00,10891,0.06787164,1306.1201,0.0034891195
2019-05-22T23:05,10271,0.06988321,1314.586,0.004089183
2019-05-22T23:10,10006,0.06026828,1320.2534,0.0036977814
2019-05-22T23:15,9270,0.05828855,1284.1547,0.0029126212
2019-05-22T23:20,9097,0.061667692,1247.2867,0.004397054
2019-05-22T23:25,8753,0.059811123,1217.7081,0.0035416428
2019-05-22T23:30,8458,0.068348624,1275.5581,0.0037834004
2019-05-22T23:35,8381,0.06666667,1232.9104,0.0023863502
2019-05-22T23:40,8164,0.05659923,1170.8759,0.0036746692
2019-05-22T23:45,8327,0.05726557,1176.488,0.0049237423
2019-05-22T23:50,7765,0.06017792,1194.3723,0.0025756601
2019-05-22T23:55,7635,0.062937066,1257.021,0.0031434186
2019-05-23T00:00,7335,0.05981972,1194.4874,0.0034083163
2019-05-23T00:05,6871,0.053637944,1233.4822,0.003929559
2019-05-23T00:10,6527,0.06334149,1234.8527,0.0032174047
2019-05-23T00:15,6283,0.07051482,1252.4658,0.003501512
2019-05-23T00:20,5824,0.065784894,1184.0139,0.003434066
2019-05-23T00:25,5730,0.056597456,1144.3159,0.002443281
2019-05-23T00:30,5525,0.0639881,1098.9808,0.0043438915
2019-05-23T00:35,5347,0.057726152,1092.0417,0.0026182907
2019-05-23T00:40,5231,0.058082577,1145.1152,0.0019116803
2019-05-23T00:45,4772,0.062088817,1170.6649,0.0027242247
2019-05-23T00:50,4847,0.05682715,1180.5436,0.0024757583
2019-05-23T00:55,4637,0.05624201,1157.1898,0.0043131337
2019-05-23T01:00,4407,0.05740988,1118.8087,0.0036305876
2019-05-23T01:05,4126,0.048525214,1041.015,0.0041202134
2019-05-23T01:10,4026,0.042633824,1093.0665,0.002483855
2019-05-23T01:15,4020,0.05443845,1097.6995,0.0027363184
2019-05-23T01:20,3631,0.056955647,1185.9948,0.0044064997
2019-05-23T01:25,3633,0.0510038,1152.0823,0.0022020368
2019-05-23T01:30,3438,0.05678885,1207.9142,0.0029086678
2019-05-23T01:35,3303,0.053254437,1148.5876,0.0030275506
2019-05-23T01:40,3248,0.04359383,1207.4741,0.00523399
2019-05-23T01:45,3146,0.058103975,1316.5146,0.004132231
2019-05-23T01:50,3037,0.045507584,1209.9127,0.0013170892
2019-05-23T01:55,3056,0.04339964,1166.572,0.004581152
2019-05-23T02:00,2712,0.055706523,1178.5664,0.0047935103
2019-05-23T02:05,2683,0.057704918,1187.4093,0.0040998883
2019-05-23T02:10,2770,0.0505689,1254.0072,0.00433213
2019-05-23T02:15,2637,0.04667124,1106.6045,0.0030337505
2019-05-23T02:20,2573,0.05,1134.04,0.0027205597
2019-05-23T02:25,2512,0.06264324,1160.5275,0.0031847134
2019-05-23T02:30,2462,0.04644809,1096.2859,0.0040617385
2019-05-23T02:35,2416,0.053333335,1293.1892,0.0024834438
2019-05-23T02:40,2342,0.049228508,1271.9629,0.0034158838
2019-05-23T02:45,2412,0.046376813,1228.0083,0.0049751243
2019-05-23T02:50,2211,0.049354594,1208.1053,0.0063319765
2019-05-23T02:55,2352,0.04407295,1210.6849,0.0046768705
